# Firefox
Ctrl + T                Nouvel onglet
Ctrl + W                Fermer onglet
Ctrl + Shift + T        Rouvrir onglet fermé
Ctrl + Tab              Onglet suivant
Ctrl + Shift + Tab      Onglet précédent
Ctrl + L                Barre d'adresse
Ctrl + K                Barre de recherche
Ctrl + R / F5           Recharger
Ctrl + Shift + R        Recharger sans cache
Ctrl + F                Rechercher dans la page
Ctrl + D                Ajouter aux favoris
Ctrl + H                Historique
Ctrl + J                Téléchargements
Ctrl + Shift + I        Outils développeur
Ctrl + U                Code source
Ctrl + +/-              Zoom avant / arrière
Ctrl + 0                Zoom par défaut
F11                     Plein écran
Alt + ← / →             Précédent / Suivant
Ctrl + Shift + P        Fenêtre privée
